item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"La excursión del señor Gumpy","John Burningham, Ellen Duthie",John,Burningham,9788494887444,8494887440,"Un día el señor Gumpy decide dar un paseo en su barca. Pero los niños, el conejo, el gato, el perro... y otros tantos amigos deciden unirse hasta llenar la embarcación. ¿Qué pasará entonces?Ganador de la Medalla Kate Greenaway en 1970 y del premio Boston Globe-Horn Book al mejor álbum ilustrado en 1972.Un clásico de la literatura infantil por primera vez en español.",Galimatazo,2021-05-19,,,,,40,,,,,,,,,,,,,2026-01-05,1
book,"Érase una forma","Cruschiform, Gazhole, Luisa Lucuix, Piu Martínez",Cruschiform,Cruschiform,9788418690204,8418690208,"Érase una vez un rey y una reina con principios geométricos muy estrictos. Sus sujetos deben estar formados por líneas rectas y ángulos agudos. Por desgracia, sus propios hijos no siguen la morfología oficial. El primero es flácido, el segundo muy ondulado, el tercero completamente suave y así sucesivamente. Pero finalmente se produce el esperado milagro. Su última hija es una maravilla: una niña isósceles, perfecta en todos los sentidos. La sucesión está asegurada. Pero entonces se enamora de un pretendiente de forma incongruente...","Editorial Barrett",2022-11-16,,,,,64,,,,,,,,,,,,,2026-01-05,1
book,"Pájaros, Los","Germano Zullo",Germano,Zullo,9788496509566,8496509567,,"Libros del Zorro Rojo",2012-03-15,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"La Huerta de Simón","Rocío Alejandro",Rocío,Alejandro,9788484643494,8484643492,"Simon plants carrots every year. Although he is not very friendly, his neighbors stop by to admire his garden. They end up planting their favorite vegetables and turn Simon's garden into a community garden.","Kalandraka Ediciones Andalucía, S.L.",2018-05-15,,,,,36,,,,,,,,,,,,,2026-01-05,1
book,"Los animales no deberían vestirse","Judi Barrett, Ron Barret",Judi,Barrett,9788416427482,8416427488,"De los creadores de Lluvia de albóndigas nos llega un clásico de 1970 que ha hecho reír a millones de niños durante varias generaciones. En él se explican, de forma divertida y acompañadas de hilarantes ilustraciones, las razones por las que no es una buena idea que los animales lleven ropa. Entre otras razones: porque la cabra se la comería, porque a la serpiente se le caería por el camino, porque la morsa la llevaría siempre mojada…","Pastel de Luna",2022-03-02,,,,,36,,,,,,,,,,,,,2026-01-05,1
book,"La biblioteca nocturna (Spanish Edition)","Kazuno  Kohara",Kazuno,Kohara,9788494154997,8494154990,"Erase una vez una biblioteca que abria solo por la noche Entra en la biblioteca nocturna y conoce a una pequena y simpatica bibliotecaria y a sus tres buhos ayudantes.    /    Once there was a library which opened only at night... / When we are fast asleep in bed, the Midnight Library opens its doors to all the night-time animals. Inside the library the little librarian and her three assistant owls help each and every animal find the perfect book. But tonight is a very busy one . .",Obelisco,2014-12-30,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"Todo lo que brilla","Lena Sjöberg, Amanda Eda Monjonell Mansten, Dea Marie Mansten",Lena,Sjöberg,9788417742423,8417742425,"Ya es de noche. Todo está oscuro. Pero ¿realmente es así? En cuanto los ojos se han acostumbrado, podemos intuir que hasta en la oscuridad más absoluta hay luz. Entremos en el bosque sombrío, sumerjámonos en el oscuro mar, y recorramos una ciudad despierta, incluso de noche, para sorprendernos con todo lo que brilla.","Editorial Kókinos",2022-02-16,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"Estamos aquí: Notas para vivir en el planeta Tierra (Álbumes) (Spanish Edition)","Oliver Jeffers, Anna Llisterri",Oliver,Jeffers,9788416394999,8416394997,"Nuestro mundo puede ser un lugar desconcertante, especialmente si acabas de nacer. Cuando un bebé llega al mundo su cabeza esta llena de preguntas, que podremos ayudarle a contestar con ayuda de este nuevo álbum del bestseller internacional Oliver Jeffers. Este álbum  nos invita  a explorar qué hacer en nuestro planeta y cómo vivimos en él.  UN LIBRO DEL SUPERVENTAS INTERNACIONAL OLIVER JEFFERS ""Una instantánea optimista de la vida contemporánea, este  libro debería convertirse en un clásico"" The Guardian - Un nuevo libro del bestseller internacional Oliver Jeffers - Un álbum ilustrado que es un regalo perfecto para regalar a un recién nacido. - Un libro lleno de color que nos muestra el universo de Oliver Jeffers.","Andana Editorial",2018-09-12,,,,,48,,,,,,,,,,,,,2026-01-05,1
book,"Wangari y Los Arboles de La Paz (Una Historia Verdadera) (Spanish Edition)","Jeanette Winter",Jeanette,Winter,9788493684310,8493684317,"Wangari vivía rodeada de árboles. Cuando crece, comienza una masiva deforestación y Wangari teme que pronto todo el bosque sea destruido. Decide sembrar nueve arbolitos e iniciar una acción ecologista en favor de la reforestación. Una historia real sobre la vida de Wangari Maathai nacida en una pequeña aldea de Kenia, que recibió el Premio Nobel de la Paz en 2004.",Ekare,2009-08-01,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"Silvestre y la piedra mágica",,,,9788417552237,8417552235,,,,,,,,44,,,,,,,,,,,,,2026-01-05,1
